filename,char_count
I've selected the forgotten password option but I haven't received a password reset email – Help Centre.md,1907
What do I need to collect my Click & Collect order in-store_ – Help Centre.md,292
Mention Me - Refer A Friend FAQs – Help Centre.md,3541
Refund timescales – Help Centre.md,1527
Changes to our Vitamins & Supplements Range – Help Centre.md,1952
Where is my order_ It’s marked as delivered but I still don’t have it. – Help Centre.md,858
How can I cancel my order for home delivery_ – Help Centre.md,1229
How do I verify my email address_ – Help Centre.md,604
What happens to my Rewards For Life voucher when I return or cancel an order_ – Help Centre.md,547
Do Holland & Barrett sell gift vouchers_ – Help Centre.md,403
I don't have a printer. How do I print my returns label off_ – Help Centre.md,939
I ordered something on TikTok Shop and need help with the order – Help Centre.md,506
How do I check that I have an account with H&B_ – Help Centre.md,1006
Checking out with PayPal – Help Centre.md,2099
How to amend your billing and delivery address on your account – Help Centre.md,1895
Can I change the address on my order_ – Help Centre.md,1526
Home delivery options - Ireland – Help Centre.md,408
Vegetarian_Vegan Society – Help Centre.md,831
How do I make changes to my online account_ – Help Centre.md,770
Where can I find information about my order_ – Help Centre.md,618
products.md,124685
Why haven’t I received an email to confirm my order_ – Help Centre.md,1550
Can I collect points if I don't have my card with me when purchasing_ – Help Centre.md,1264
"I live in Ireland, why can’t you split it into two orders for me_ – Help Centre.md",335
I received an email that my parcel was damaged in transit - what now_ – Help Centre.md,1337
What is Rewards For Life_ – Help Centre.md,2746
Can I use my Rewards for Life account from the hollandandbarrett.com website on the hollandandbarrett.ie website_ – Help Centre.md,1276
VAT Invoices for online orders – Help Centre.md,766
Paper Bag Charge – Help Centre.md,1285
How to Switch Off App Notifications - Android Devices – Help Centre.md,676
Can I check when my rewards voucher was used_ – Help Centre.md,589
Getting in touch about an experience in-store – Help Centre.md,567
Can I change my email address on my Rewards For Life card_ – Help Centre.md,688
Attempted delivery – Help Centre.md,434
How do I get a new_replacement Rewards For Life card_ – Help Centre.md,977
How long will you hold my Click and Collect order for me at the store_ – Help Centre.md,575
I'm missing a free item from my order – Help Centre.md,1863
What couriers do Holland & Barrett use_ – Help Centre.md,441
How do I return an item - UK_ – Help Centre.md,3938
H&B Marketplace FAQs – Help Centre.md,2748
Student Discount & UNiDAYS – Help Centre.md,995
"My orders been delivered to the wrong address, what now_ – Help Centre.md",1220
How do I cancel my Click & Collect order_ – Help Centre.md,1106
How can I view my Rewards For Life points_ – Help Centre.md,731
Click & Collect - UK – Help Centre.md,416
"I have more than one loyalty card, can they be linked_ – Help Centre.md",935
How do your Express Checkout payment options work_ – Help Centre.md,726
Do you accept One4All Cards_ – Help Centre.md,580
How do I collect points on my online order_ – Help Centre.md,958
Contact us – Help Centre.md,1043
How do I return an item - Ireland_ – Help Centre.md,1798
Free wellness consultations – Help Centre.md,3105
Why isn't my promotional_discount code working online_ – Help Centre.md,4570
Do you offer discount for Blue Light Card holders_ – Help Centre.md,591
Promotional Terms & Conditions – Help Centre.md,764
"I live in Ireland, why does my order need to go through customs now, it didn’t before_ – Help Centre.md",510
I'm not receving emails but I have a Rewards for Life card – Help Centre.md,808
Where do you ship to_ – Help Centre.md,2338
"I live in Ireland, why can’t I order some products from you anymore_ – Help Centre.md",470
How does Buy One Get One Free work_ – Help Centre.md,1173
"I'm a H&B Supplier, how do I get in touch_ – Help Centre.md",663
E-receipt FAQs – Help Centre.md,2669
